muizza@muizza-ThinkPad-T14s-Gen-1:~/Desktop/AdvCompSys/proj2$ ./proj2.o
Matrix multiplication took 5.413829863999 seconds for 1000 dim, 0.01 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 5.347512670003 seconds for 1000 dim, 0.01 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 6.004084537002 seconds for 1000 dim, 0.01 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 5.371574964000 seconds for 1000 dim, 0.01 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 1.018908909999 seconds for 1000 dim, 0.01 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 1.728602760002 seconds for 1000 dim, 0.01 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 1.180859190001 seconds for 1000 dim, 0.01 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 1.284769537000 seconds for 1000 dim, 0.01 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 5.325544036001 seconds for 1000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 5.249226316999 seconds for 1000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 5.964885328998 seconds for 1000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 5.427021923002 seconds for 1000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 1.015957825002 seconds for 1000 dim, 0.05 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 1.723930332002 seconds for 1000 dim, 0.05 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 1.177938700999 seconds for 1000 dim, 0.05 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 1.245342520000 seconds for 1000 dim, 0.05 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 5.182171947999 seconds for 1000 dim, 0.10 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 5.110117685999 seconds for 1000 dim, 0.10 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 6.235486995000 seconds for 1000 dim, 0.10 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 5.633755478000 seconds for 1000 dim, 0.10 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 1.161503887000 seconds for 1000 dim, 0.10 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 1.771640596002 seconds for 1000 dim, 0.10 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 1.251995437000 seconds for 1000 dim, 0.10 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 1.383040164001 seconds for 1000 dim, 0.10 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 49.523843968000 seconds for 2000 dim, 0.01 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 50.210120784999 seconds for 2000 dim, 0.01 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 55.075149085998 seconds for 2000 dim, 0.01 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 48.946328721999 seconds for 2000 dim, 0.01 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 8.940807371000 seconds for 2000 dim, 0.01 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 15.490537360998 seconds for 2000 dim, 0.01 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 10.930675300999 seconds for 2000 dim, 0.01 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 11.230694051003 seconds for 2000 dim, 0.01 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 49.611530171002 seconds for 2000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 51.416629629999 seconds for 2000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 54.907154475000 seconds for 2000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 49.918402495001 seconds for 2000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 1 block
